Species,site_id,gateway_hub_id,sensor_id,value1,value2,value3,value4
1,1001,arc1045,0a.EPA-1h,3.9,22.4,16.18,19.6
2,1001,arc1045,0a.EPA-1h.NOPK,3.9,22.4,56.66,3.6
3,1001,arc1045,0a.EPA-1h.NOPK.EPA-24h,5.5,20.9,1007.2,25.7
4,1001,arc1045,0a.EPA-1h.PKIND,1,1,7.7,16.17
5,1001,arc1045,0a.EPA-24h,5.5,20.9,16.7,53.18
6,1001,arc1045,0b.EPA-1h,19.5,15.36,56.05,1006.6
7,1001,arc1045,0b.EPA-1h.NOPK,19.5,57.82,1007.9,4.46
8,1001,arc1045,0b.EPA-1h.NOPK.EPA-24h,22.9,15.96,6.66,15.7
9,1001,arc1045,0b.EPA-1h.PKIND,1,53.8,15.82,58.48
10,1001,arc1045,0b.EPA-24h,22.9,1006.9,56.32,1007.1
11,1001,arc1045,5a.EPA-1h,15.32,4.75,1007,7.67
12,1001,arc1045,5b.EPA-1h,57.07,15.47,6.48,16.09
13,1002,arc1046,0a.EPA-1h,4.4,1007.3,16.9,58.05
14,1002,arc1046,0a.EPA-1h.NOPK,4.4,7.85,51.16,1007.7
15,1002,arc1046,0a.EPA-1h.NOPK.EPA-24h,4.4,15.56,1006.6,7.78
16,1002,arc1046,0a.EPA-1h.PKIND,1,59.41,4.54,15.42
17,1002,arc1046,0a.EPA-24h,4.4,1007.8,15.93,58.05
18,1002,arc1046,0b.EPA-1h,21.1,7.88,56.11,1006.3
19,1002,arc1046,0b.EPA-1h.NOPK,21.1,15.04,1006.1,7.42
20,1002,arc1046,0b.EPA-1h.NOPK.EPA-24h,20.1,59,7.99,15.44
21,1002,arc1046,0b.EPA-1h.PKIND,1,1006.3,5.7,57.91
22,1002,arc1046,0b.EPA-24h,20.1,7.74,24.4,1006.6
23,1002,arc1046,5a.EPA-1h,14.83,15.06,4.1,6.23
24,1002,arc1046,5b.EPA-1h,63.04,58.65,19.6,4.8
25,1003,arc1047,0a.EPA-1h,4,1006.7,6.5,18.4
26,1003,arc1047,0a.EPA-1h.NOPK,4,6.34,28,4.7
27,1003,arc1047,0a.EPA-1h.NOPK.EPA-24h,4.2,4.7,5.6,18.2
28,1003,arc1047,0a.EPA-1h.PKIND,1,18.7,23.4,4.2
29,1003,arc1047,0a.EPA-24h,4.2,5.1,6.3,18.5
30,1003,arc1047,0b.EPA-1h,18.4,21.5,27,6.6
31,1003,arc1047,0b.EPA-1h.NOPK,18.4,3.5,17.2,35.5
32,1003,arc1047,0b.EPA-1h.NOPK.EPA-24h,19,17.3,50.74,3.6
33,1003,arc1047,0b.EPA-1h.PKIND,1,6.5,1006.7,20.1
34,1003,arc1047,0b.EPA-24h,19,21.4,4.64,16.42
35,1003,arc1047,5a.EPA-1h,15.02,4.4,16.74,52.1
36,1003,arc1047,5b.EPA-1h,62.94,23.4,56.11,1006.5
37,1004,arc1048,0a.EPA-1h,5.1,15.96,1007.1,4.61
38,1004,arc1048,0a.EPA-1h.NOPK,5.1,53.62,7.67,15.82
39,1004,arc1048,0a.EPA-1h.NOPK.EPA-24h,5.2,1006.6,16.84,57.9
40,1004,arc1048,0a.EPA-1h.PKIND,1,4.75,55.88,1007.4
